WARNING:torch.distributed.run:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
| distributed init (rank 0): env://
| distributed init (rank 1): env://
Namespace(data_path='/media/data/coco2017', weights_path=None, dataset='coco', model='my_fcos_resnet50_fpn', device='cuda', batch_size=2, epochs=26, workers=4, opt='sgd', lr=0.005, momentum=0.9, weight_decay=0.0001, norm_weight_decay=None, lr_scheduler='multisteplr', lr_step_size=8, lr_steps=[16, 22], lr_gamma=0.1, print_freq=20, output_dir='./outputs/FCOS/s3c_s4o_s5g', resume='', start_epoch=0, aspect_ratio_group_factor=3, rpn_score_thresh=None, trainable_backbone_layers=None, data_augmentation='hflip', sync_bn=False, test_only=False, use_deterministic_algorithms=False, world_size=2, dist_url='env://', weights=None, weights_backbone='ResNet50_Weights.IMAGENET1K_V1', amp=True, use_copypaste=False, backend='pil', use_v2=False, rank=0, gpu=0, distributed=True, dist_backend='nccl')
Loading data
root:  /media/data/coco2017
img_folder:  train2017
loading annotations into memory...
Done (t=8.31s)
creating index...
index created!
root:  /media/data/coco2017
img_folder:  val2017
loading annotations into memory...
Done (t=0.21s)
creating index...
index created!
Creating data loaders
Using [0, 0.5, 0.6299605249474365, 0.7937005259840997, 1.0, 1.259921049894873, 1.5874010519681991, 2.0, inf] as bins for aspect ratio quantization
Count of instances per bin: [  104   982 24236  2332  8225 74466  5763  1158]
Creating model
return_layers: {'layer2': '0', 'layer3': '1', 'layer4': '2'}
extra_blocks: LastLevelP6P7(
  (p6): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  (p7): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
)
Loading weights from ResNet50_Weights.IMAGENET1K_V1
return_layers: {'layer2': '0', 'layer3': '1', 'layer4': '2'}
extra_blocks: LastLevelP6P7(
  (p6): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  (p7): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
)
Start training
Epoch: [0]  [    0/29316]  eta: 10:07:33  lr: 0.000010  loss: 2.9731 (2.9731)  bbox_ctrness: 0.7217 (0.7217)  bbox_regression: 0.9922 (0.9922)  classification: 1.2592 (1.2592)  time: 1.2435  data: 0.3296  max mem: 4673
Epoch: [0]  [   20/29316]  eta: 2:07:13  lr: 0.000110  loss: 2.8830 (2.9088)  bbox_ctrness: 0.6941 (0.6940)  bbox_regression: 0.9962 (0.9961)  classification: 1.2209 (1.2186)  time: 0.2114  data: 0.0036  max mem: 5195
Epoch: [0]  [   40/29316]  eta: 1:57:01  lr: 0.000210  loss: 2.7108 (2.8128)  bbox_ctrness: 0.6767 (0.6854)  bbox_regression: 0.9461 (0.9618)  classification: 1.0937 (1.1655)  time: 0.2181  data: 0.0034  max mem: 5396
Epoch: [0]  [   60/29316]  eta: 1:53:33  lr: 0.000310  loss: 2.3852 (2.6785)  bbox_ctrness: 0.6770 (0.6820)  bbox_regression: 0.6703 (0.8697)  classification: 1.0455 (1.1268)  time: 0.2186  data: 0.0036  max mem: 5396
Epoch: [0]  [   80/29316]  eta: 1:51:16  lr: 0.000410  loss: 2.2894 (2.5842)  bbox_ctrness: 0.6738 (0.6799)  bbox_regression: 0.6062 (0.8048)  classification: 1.0057 (1.0994)  time: 0.2145  data: 0.0036  max mem: 5396
Epoch: [0]  [  100/29316]  eta: 1:49:44  lr: 0.000509  loss: 2.2400 (2.5190)  bbox_ctrness: 0.6716 (0.6785)  bbox_regression: 0.6074 (0.7648)  classification: 0.9444 (1.0757)  time: 0.2132  data: 0.0038  max mem: 5396
Epoch: [0]  [  120/29316]  eta: 1:49:06  lr: 0.000609  loss: 2.2370 (2.4748)  bbox_ctrness: 0.6732 (0.6779)  bbox_regression: 0.6067 (0.7412)  classification: 0.9531 (1.0557)  time: 0.2185  data: 0.0037  max mem: 5396
Epoch: [0]  [  140/29316]  eta: 1:48:39  lr: 0.000709  loss: 2.2412 (2.4419)  bbox_ctrness: 0.6688 (0.6766)  bbox_regression: 0.5786 (0.7185)  classification: 0.9886 (1.0467)  time: 0.2186  data: 0.0035  max mem: 5399
Epoch: [0]  [  160/29316]  eta: 1:48:20  lr: 0.000809  loss: 2.1919 (2.4138)  bbox_ctrness: 0.6662 (0.6753)  bbox_regression: 0.5682 (0.7006)  classification: 0.9713 (1.0379)  time: 0.2195  data: 0.0036  max mem: 5399
Epoch: [0]  [  180/29316]  eta: 1:47:46  lr: 0.000909  loss: 2.1868 (2.3863)  bbox_ctrness: 0.6673 (0.6745)  bbox_regression: 0.5607 (0.6859)  classification: 0.9303 (1.0259)  time: 0.2137  data: 0.0035  max mem: 5399
Epoch: [0]  [  200/29316]  eta: 1:47:23  lr: 0.001009  loss: 2.1460 (2.3626)  bbox_ctrness: 0.6669 (0.6737)  bbox_regression: 0.5588 (0.6733)  classification: 0.9356 (1.0156)  time: 0.2157  data: 0.0035  max mem: 5399
Epoch: [0]  [  220/29316]  eta: 1:47:09  lr: 0.001109  loss: 2.1519 (2.3448)  bbox_ctrness: 0.6682 (0.6731)  bbox_regression: 0.5609 (0.6634)  classification: 0.9089 (1.0083)  time: 0.2178  data: 0.0036  max mem: 5399
Epoch: [0]  [  240/29316]  eta: 1:46:49  lr: 0.001209  loss: 2.1163 (2.3275)  bbox_ctrness: 0.6763 (0.6733)  bbox_regression: 0.5648 (0.6560)  classification: 0.8863 (0.9981)  time: 0.2144  data: 0.0037  max mem: 5399
Epoch: [0]  [  260/29316]  eta: 1:46:41  lr: 0.001309  loss: 2.1776 (2.3150)  bbox_ctrness: 0.6653 (0.6729)  bbox_regression: 0.5520 (0.6483)  classification: 0.9309 (0.9938)  time: 0.2186  data: 0.0035  max mem: 5417
Epoch: [0]  [  280/29316]  eta: 1:46:26  lr: 0.001409  loss: 2.0667 (2.2980)  bbox_ctrness: 0.6665 (0.6723)  bbox_regression: 0.5371 (0.6401)  classification: 0.8708 (0.9856)  time: 0.2154  data: 0.0037  max mem: 5417
Epoch: [0]  [  300/29316]  eta: 1:46:11  lr: 0.001508  loss: 2.0835 (2.2859)  bbox_ctrness: 0.6718 (0.6721)  bbox_regression: 0.5301 (0.6330)  classification: 0.9065 (0.9808)  time: 0.2145  data: 0.0037  max mem: 5417
Epoch: [0]  [  320/29316]  eta: 1:45:59  lr: 0.001608  loss: 2.0740 (2.2742)  bbox_ctrness: 0.6688 (0.6721)  bbox_regression: 0.5414 (0.6273)  classification: 0.9128 (0.9748)  time: 0.2155  data: 0.0036  max mem: 5417
Epoch: [0]  [  340/29316]  eta: 1:45:52  lr: 0.001708  loss: 2.0667 (2.2626)  bbox_ctrness: 0.6660 (0.6719)  bbox_regression: 0.5186 (0.6211)  classification: 0.8802 (0.9696)  time: 0.2177  data: 0.0035  max mem: 5417
Epoch: [0]  [  360/29316]  eta: 1:45:47  lr: 0.001808  loss: 2.0527 (2.2500)  bbox_ctrness: 0.6688 (0.6716)  bbox_regression: 0.5246 (0.6155)  classification: 0.8276 (0.9630)  time: 0.2189  data: 0.0035  max mem: 5417
Epoch: [0]  [  380/29316]  eta: 1:45:39  lr: 0.001908  loss: 1.9849 (2.2372)  bbox_ctrness: 0.6684 (0.6714)  bbox_regression: 0.5018 (0.6096)  classification: 0.8069 (0.9562)  time: 0.2169  data: 0.0037  max mem: 5417
Epoch: [0]  [  400/29316]  eta: 1:45:38  lr: 0.002008  loss: 1.9736 (2.2260)  bbox_ctrness: 0.6723 (0.6716)  bbox_regression: 0.5129 (0.6049)  classification: 0.7876 (0.9495)  time: 0.2213  data: 0.0037  max mem: 5417
Epoch: [0]  [  420/29316]  eta: 1:45:38  lr: 0.002108  loss: 2.0595 (2.2181)  bbox_ctrness: 0.6675 (0.6715)  bbox_regression: 0.4900 (0.5997)  classification: 0.8955 (0.9469)  time: 0.2221  data: 0.0036  max mem: 5417
Epoch: [0]  [  440/29316]  eta: 1:45:34  lr: 0.002208  loss: 2.0380 (2.2094)  bbox_ctrness: 0.6663 (0.6712)  bbox_regression: 0.5238 (0.5958)  classification: 0.8436 (0.9424)  time: 0.2200  data: 0.0038  max mem: 5417
Epoch: [0]  [  460/29316]  eta: 1:45:33  lr: 0.002308  loss: 1.9989 (2.2007)  bbox_ctrness: 0.6677 (0.6709)  bbox_regression: 0.5008 (0.5915)  classification: 0.8266 (0.9383)  time: 0.2216  data: 0.0037  max mem: 5417
Epoch: [0]  [  480/29316]  eta: 1:45:28  lr: 0.002408  loss: 2.0159 (2.1928)  bbox_ctrness: 0.6694 (0.6708)  bbox_regression: 0.4961 (0.5877)  classification: 0.8379 (0.9343)  time: 0.2196  data: 0.0039  max mem: 5417
Epoch: [0]  [  500/29316]  eta: 1:45:22  lr: 0.002507  loss: 1.9943 (2.1851)  bbox_ctrness: 0.6561 (0.6703)  bbox_regression: 0.4841 (0.5840)  classification: 0.8450 (0.9308)  time: 0.2175  data: 0.0039  max mem: 5417
Epoch: [0]  [  520/29316]  eta: 1:45:19  lr: 0.002607  loss: 1.9861 (2.1789)  bbox_ctrness: 0.6623 (0.6701)  bbox_regression: 0.5016 (0.5813)  classification: 0.8437 (0.9275)  time: 0.2205  data: 0.0036  max mem: 5417
Epoch: [0]  [  540/29316]  eta: 1:45:17  lr: 0.002707  loss: 1.9430 (2.1703)  bbox_ctrness: 0.6596 (0.6699)  bbox_regression: 0.4880 (0.5778)  classification: 0.7930 (0.9227)  time: 0.2218  data: 0.0037  max mem: 5417
Epoch: [0]  [  560/29316]  eta: 1:45:13  lr: 0.002807  loss: 1.9604 (2.1628)  bbox_ctrness: 0.6593 (0.6696)  bbox_regression: 0.4776 (0.5744)  classification: 0.8197 (0.9188)  time: 0.2203  data: 0.0039  max mem: 5417
Epoch: [0]  [  580/29316]  eta: 1:45:07  lr: 0.002907  loss: 1.9691 (2.1567)  bbox_ctrness: 0.6591 (0.6693)  bbox_regression: 0.4787 (0.5714)  classification: 0.8000 (0.9159)  time: 0.2178  data: 0.0036  max mem: 5417
Epoch: [0]  [  600/29316]  eta: 1:44:55  lr: 0.003007  loss: 1.9806 (2.1514)  bbox_ctrness: 0.6673 (0.6695)  bbox_regression: 0.5079 (0.5696)  classification: 0.7986 (0.9123)  time: 0.2118  data: 0.0039  max mem: 5417
Epoch: [0]  [  620/29316]  eta: 1:44:52  lr: 0.003107  loss: 1.8846 (2.1431)  bbox_ctrness: 0.6636 (0.6692)  bbox_regression: 0.4729 (0.5665)  classification: 0.7469 (0.9075)  time: 0.2204  data: 0.0034  max mem: 5417
Epoch: [0]  [  640/29316]  eta: 1:44:49  lr: 0.003207  loss: 1.9192 (2.1366)  bbox_ctrness: 0.6656 (0.6690)  bbox_regression: 0.4898 (0.5641)  classification: 0.7686 (0.9035)  time: 0.2208  data: 0.0037  max mem: 5417
